Sno,GasLevel,Gas,Status,
,16.7,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,16.8,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,16.9,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.1,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.2,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.3,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.4,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.5,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.6,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.7,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.8,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,17.9,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.1,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.2,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.3,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.4,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.5,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.6,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.7,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.8,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
,18.9,Carbonmonoxide,"Identification as a smoker,Chronic ObstructivePulmonaryDisorder(COPD)",
